PM,PM2,EG1,EG2,EG3,EG4,EG5,EG6,EG7,EG8,EG9,EG10,EG11,EG12,EG13,EG14,EG15,EG16,EG17,EG18,EG19,EG20,HUM,TMP,WD,WS
13,12,1312.74,15156.18,12888.72,2864.16,2864.16,291.72,3368.04,2864.16,636.48,636.48,575.96,6649.72,5654.88,1256.64,1256.64,145.86,1684.02,1432.08,318.24,318.24,52,5.1,-0.08715574,1.9
51,10,1668.04,19258.28,16377.12,3639.36,3639.36,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,34,12.9,0.2249511,1.3
48,21,875.16,10104.12,8592.48,1909.44,1909.44,437.58,5052.06,4296.24,954.72,954.72,800.36,9240.52,7858.08,1746.24,1746.24,291.72,3368.04,2864.16,636.48,636.48,36,3.4,-0.3255682,2.2
90,39,875.16,10104.12,8592.48,1909.44,1909.44,729.3,8420.1,7160.4,1591.2,1591.2,291.72,3368.04,2864.16,636.48,636.48,871.42,10060.94,8555.76,1901.28,1901.28,85,6,0.8386706,0.5
25,13,1454.86,16797.02,14284.08,3174.24,3174.24,946.22,10924.54,9290.16,2064.48,2064.48,430.1,4965.7,4222.8,938.4,938.4,291.72,3368.04,2864.16,636.48,636.48,58,20.4,0.5735764,2.5
37,26,1159.4,13385.8,11383.2,2529.6,2529.6,721.82,8333.74,7086.96,1574.88,1574.88,938.74,10838.18,9216.72,2048.16,2048.16,871.42,10060.94,8555.76,1901.28,1901.28,29,1.3,0.3746066,2.9
71,46,1305.26,15069.82,12815.28,2847.84,2847.84,1309,15113,12852,2856,2856,721.82,8333.74,7086.96,1574.88,1574.88,583.44,6736.08,5728.32,1272.96,1272.96,54,20.9,-0.3420201,2.2
23,21,1092.08,12608.56,10722.24,2382.72,2382.72,1522.18,17574.26,14945.04,3321.12,3321.12,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,33,-5.7,0.3255682,1.9
29,22,1305.26,15069.82,12815.28,2847.84,2847.84,800.36,9240.52,7858.08,1746.24,1746.24,291.72,3368.04,2864.16,636.48,636.48,0,0,0,0,0,86,22.7,-0.9781476,0.3
46,35,1383.8,15976.6,13586.4,3019.2,3019.2,583.44,6736.08,5728.32,1272.96,1272.96,654.5,7556.5,6426,1428,1428,145.86,1684.02,1432.08,318.24,318.24,36,5.1,0.6156615,0.7
41,14,291.72,3368.04,2864.16,636.48,636.48,1159.4,13385.8,11383.2,2529.6,2529.6,725.56,8376.92,7123.68,1583.04,1583.04,575.96,6649.72,5654.88,1256.64,1256.64,34,9,-0.4067366,2.2
48,27,1021.02,11788.14,10024.56,2227.68,2227.68,1013.54,11701.78,9951.12,2211.36,2211.36,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,60,12.9,-0.06975647,1.2
41,34,875.16,10104.12,8592.48,1909.44,1909.44,583.44,6736.08,5728.32,1272.96,1272.96,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,46,11,0.2923717,2.5
59,45,946.22,10924.54,9290.16,2064.48,2064.48,721.82,8333.74,7086.96,1574.88,1574.88,430.1,4965.7,4222.8,938.4,938.4,871.42,10060.94,8555.76,1901.28,1901.28,50,14.5,0.1045285,2.3
65,41,654.5,7556.5,6426,1428,1428,575.96,6649.72,5654.88,1256.64,1256.64,575.96,6649.72,5654.88,1256.64,1256.64,871.42,10060.94,8555.76,1901.28,1901.28,47,6.4,-0.258819,1.1
28,17,1600.72,18481.04,15716.16,3492.48,3492.48,575.96,6649.72,5654.88,1256.64,1256.64,1006.06,11615.42,9877.68,2195.04,2195.04,437.58,5052.06,4296.24,954.72,954.72,64,20.1,0.7986355,1.4
28,14,437.58,5052.06,4296.24,954.72,954.72,1297.78,14983.46,12741.84,2831.52,2831.52,871.42,10060.94,8555.76,1901.28,1901.28,1009.8,11658.6,9914.4,2203.2,2203.2,49,3.6,0.5299193,0.4
64,43,875.16,10104.12,8592.48,1909.44,1909.44,721.82,8333.74,7086.96,1574.88,1574.88,430.1,4965.7,4222.8,938.4,938.4,654.5,7556.5,6426,1428,1428,53,18.3,0.9781476,0.8
19,14,1159.4,13385.8,11383.2,2529.6,2529.6,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,725.56,8376.92,7123.68,1583.04,1583.04,34,-3.3,0.1736482,2.4
38,21,583.44,6736.08,5728.32,1272.96,1272.96,867.68,10017.76,8519.04,1893.12,1893.12,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,19,2.2,0.6819984,1.1
35,20,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,654.5,7556.5,6426,1428,1428,583.44,6736.08,5728.32,1272.96,1272.96,30,1.9,0.3746066,3
26,19,875.16,10104.12,8592.48,1909.44,1909.44,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,725.56,8376.92,7123.68,1583.04,1583.04,42,9.1,0.6156615,0.7
29,17,729.3,8420.1,7160.4,1591.2,1591.2,1301.52,15026.64,12778.56,2839.68,2839.68,145.86,1684.02,1432.08,318.24,318.24,291.72,3368.04,2864.16,636.48,636.48,35,7.5,0.5,0.4
28,27,1159.4,13385.8,11383.2,2529.6,2529.6,1376.32,15890.24,13512.96,3002.88,3002.88,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,55,4.6,0.2079117,2.5
19,12,1454.86,16797.02,14284.08,3174.24,3174.24,583.44,6736.08,5728.32,1272.96,1272.96,1006.06,11615.42,9877.68,2195.04,2195.04,291.72,3368.04,2864.16,636.48,636.48,70,19,0.9510565,1.1
13,98,1166.88,13472.16,11456.64,2545.92,2545.92,1525.92,17617.44,14981.76,3329.28,3329.28,721.82,8333.74,7086.96,1574.88,1574.88,871.42,10060.94,8555.76,1901.28,1901.28,14,-2,0.8480481,1.2
39,9,1021.02,11788.14,10024.56,2227.68,2227.68,583.44,6736.08,5728.32,1272.96,1272.96,1006.06,11615.42,9877.68,2195.04,2195.04,145.86,1684.02,1432.08,318.24,318.24,17,2.9,0.2756374,2.6
66,18,867.68,10017.76,8519.04,1893.12,1893.12,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,725.56,8376.92,7123.68,1583.04,1583.04,59,19.3,0.5735764,3.1
33,29,1159.4,13385.8,11383.2,2529.6,2529.6,721.82,8333.74,7086.96,1574.88,1574.88,938.74,10838.18,9216.72,2048.16,2048.16,871.42,10060.94,8555.76,1901.28,1901.28,32,0.5,0.2756374,4.2
51,27,875.16,10104.12,8592.48,1909.44,1909.44,1159.4,13385.8,11383.2,2529.6,2529.6,938.74,10838.18,9216.72,2048.16,2048.16,800.36,9240.52,7858.08,1746.24,1746.24,30,8.5,0.5150381,1.8
52,38,1593.24,18394.68,15642.72,3476.16,3476.16,1305.26,15069.82,12815.28,2847.84,2847.84,145.86,1684.02,1432.08,318.24,318.24,1163.14,13428.98,11419.92,2537.76,2537.76,10,5.9,0.4383711,2
43,26,583.44,6736.08,5728.32,1272.96,1272.96,1013.54,11701.78,9951.12,2211.36,2211.36,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,78,22.6,-0.05233596,1.4
51,20,583.44,6736.08,5728.32,1272.96,1272.96,867.68,10017.76,8519.04,1893.12,1893.12,575.96,6649.72,5654.88,1256.64,1256.64,437.58,5052.06,4296.24,954.72,954.72,50,4,0.05233596,0.9
64,34,1237.94,14292.58,12154.32,2700.96,2700.96,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,28,8.3,0.6946584,1.3
55,54,800.36,9240.52,7858.08,1746.24,1746.24,1305.26,15069.82,12815.28,2847.84,2847.84,430.1,4965.7,4222.8,938.4,938.4,0,0,0,0,0,63,9.3,-0.7986355,0.4
57,31,875.16,10104.12,8592.48,1909.44,1909.44,437.58,5052.06,4296.24,954.72,954.72,800.36,9240.52,7858.08,1746.24,1746.24,1009.8,11658.6,9914.4,2203.2,2203.2,50,7.4,0.9961947,0.5
27,14,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,0,0,0,0,0,0,0,0,0,0,41,4.6,0.1045285,1.7
24,7,1021.02,11788.14,10024.56,2227.68,2227.68,875.16,10104.12,8592.48,1909.44,1909.44,871.42,10060.94,8555.76,1901.28,1901.28,437.58,5052.06,4296.24,954.72,954.72,59,18.7,0.9063078,1.5
91,62,1522.18,17574.26,14945.04,3321.12,3321.12,1013.54,11701.78,9951.12,2211.36,2211.36,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,32,11.2,0.8660254,1
66,49,1522.18,17574.26,14945.04,3321.12,3321.12,1443.64,16667.48,14173.92,3149.76,3149.76,575.96,6649.72,5654.88,1256.64,1256.64,583.44,6736.08,5728.32,1272.96,1272.96,12,10,0.5735764,2.3
18,15,1593.24,18394.68,15642.72,3476.16,3476.16,1013.54,11701.78,9951.12,2211.36,2211.36,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,16,2,0.258819,2.9
15,10,1522.18,17574.26,14945.04,3321.12,3321.12,1309,15113,12852,2856,2856,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,85,20.6,0.5591929,0.8
43,17,1017.28,11744.96,9987.84,2219.52,2219.52,1092.08,12608.56,10722.24,2382.72,2382.72,0,0,0,0,0,291.72,3368.04,2864.16,636.48,636.48,42,7.3,0.5,0.4
50,30,729.3,8420.1,7160.4,1591.2,1591.2,1230.46,14206.22,12080.88,2684.64,2684.64,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,18,6.2,0.2249511,3.1
47,27,1021.02,11788.14,10024.56,2227.68,2227.68,1159.4,13385.8,11383.2,2529.6,2529.6,0,0,0,0,0,291.72,3368.04,2864.16,636.48,636.48,70,21.1,0.4226183,2
45,98,1159.4,13385.8,11383.2,2529.6,2529.6,1013.54,11701.78,9951.12,2211.36,2211.36,721.82,8333.74,7086.96,1574.88,1574.88,437.58,5052.06,4296.24,954.72,954.72,20,-7.7,0.5735764,2.1
61,27,875.16,10104.12,8592.48,1909.44,1909.44,583.44,6736.08,5728.32,1272.96,1272.96,800.36,9240.52,7858.08,1746.24,1746.24,437.58,5052.06,4296.24,954.72,954.72,32,14.4,0.2079117,1.9
24,16,1731.62,19992.34,17001.36,3778.08,3778.08,1021.02,11788.14,10024.56,2227.68,2227.68,1006.06,11615.42,9877.68,2195.04,2195.04,583.44,6736.08,5728.32,1272.96,1272.96,54,3.5,0.7313537,0.3
32,23,1021.02,11788.14,10024.56,2227.68,2227.68,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,38,0.8,0.2419219,4
64,51,1159.4,13385.8,11383.2,2529.6,2529.6,729.3,8420.1,7160.4,1591.2,1591.2,800.36,9240.52,7858.08,1746.24,1746.24,871.42,10060.94,8555.76,1901.28,1901.28,35,4.7,0.4539905,2.2
39,26,583.44,6736.08,5728.32,1272.96,1272.96,145.86,1684.02,1432.08,318.24,318.24,800.36,9240.52,7858.08,1746.24,1746.24,437.58,5052.06,4296.24,954.72,954.72,50,13.1,0.9205049,0.7
17,6,729.3,8420.1,7160.4,1591.2,1591.2,1376.32,15890.24,13512.96,3002.88,3002.88,145.86,1684.02,1432.08,318.24,318.24,291.72,3368.04,2864.16,636.48,636.48,55,19.9,0.4383711,2.5
51,14,875.16,10104.12,8592.48,1909.44,1909.44,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,58,18.8,0.8290376,1.6
20,14,875.16,10104.12,8592.48,1909.44,1909.44,729.3,8420.1,7160.4,1591.2,1591.2,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,36,5,0.3255682,2.5
39,33,875.16,10104.12,8592.48,1909.44,1909.44,1013.54,11701.78,9951.12,2211.36,2211.36,291.72,3368.04,2864.16,636.48,636.48,145.86,1684.02,1432.08,318.24,318.24,78,22.4,-0.05233596,0.5
96,76,1021.02,11788.14,10024.56,2227.68,2227.68,875.16,10104.12,8592.48,1909.44,1909.44,575.96,6649.72,5654.88,1256.64,1256.64,145.86,1684.02,1432.08,318.24,318.24,64,6.1,0.06975647,0.5
26,12,1021.02,11788.14,10024.56,2227.68,2227.68,860.2,9931.4,8445.6,1876.8,1876.8,291.72,3368.04,2864.16,636.48,636.48,729.3,8420.1,7160.4,1591.2,1591.2,38,0.7,0.9396926,0.7
36,28,1159.4,13385.8,11383.2,2529.6,2529.6,867.68,10017.76,8519.04,1893.12,1893.12,1155.66,13342.62,11346.48,2521.44,2521.44,437.58,5052.06,4296.24,954.72,954.72,43,22.5,0.2923717,2.4
19,10,1021.02,11788.14,10024.56,2227.68,2227.68,1021.02,11788.14,10024.56,2227.68,2227.68,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,62,18.6,0.6156615,2.8
42,98,1021.02,11788.14,10024.56,2227.68,2227.68,729.3,8420.1,7160.4,1591.2,1591.2,1006.06,11615.42,9877.68,2195.04,2195.04,437.58,5052.06,4296.24,954.72,954.72,21,2,0.2923717,2.5
33,31,1013.54,11701.78,9951.12,2211.36,2211.36,1522.18,17574.26,14945.04,3321.12,3321.12,291.72,3368.04,2864.16,636.48,636.48,0,0,0,0,0,57,8.3,0.9743701,1.4
24,20,875.16,10104.12,8592.48,1909.44,1909.44,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,54,1.6,0.06975647,2.1
32,98,1443.64,16667.48,14173.92,3149.76,3149.76,583.44,6736.08,5728.32,1272.96,1272.96,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,36,5.1,-0.1564345,1.1
81,53,729.3,8420.1,7160.4,1591.2,1591.2,583.44,6736.08,5728.32,1272.96,1272.96,654.5,7556.5,6426,1428,1428,0,0,0,0,0,67,6.5,0.8571673,1.5
30,27,583.44,6736.08,5728.32,1272.96,1272.96,575.96,6649.72,5654.88,1256.64,1256.64,800.36,9240.52,7858.08,1746.24,1746.24,437.58,5052.06,4296.24,954.72,954.72,54,14.2,-0.3907311,0.6
36,20,1237.94,14292.58,12154.32,2700.96,2700.96,1376.32,15890.24,13512.96,3002.88,3002.88,0,0,0,0,0,871.42,10060.94,8555.76,1901.28,1901.28,51,6.4,0.9848078,0.4
33,21,729.3,8420.1,7160.4,1591.2,1591.2,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,1017.28,11744.96,9987.84,2219.52,2219.52,48,8.7,0.9455186,0.4
21,21,1159.4,13385.8,11383.2,2529.6,2529.6,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,91,7,0.5,1.3
94,62,729.3,8420.1,7160.4,1591.2,1591.2,583.44,6736.08,5728.32,1272.96,1272.96,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,46,5.2,0.9816272,1
17,12,583.44,6736.08,5728.32,1272.96,1272.96,1454.86,16797.02,14284.08,3174.24,3174.24,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,31,5.7,0.6156615,0.7
17,6,1305.26,15069.82,12815.28,2847.84,2847.84,867.68,10017.76,8519.04,1893.12,1893.12,1006.06,11615.42,9877.68,2195.04,2195.04,583.44,6736.08,5728.32,1272.96,1272.96,66,17.6,0.9876883,0.9
32,6,437.58,5052.06,4296.24,954.72,954.72,1297.78,14983.46,12741.84,2831.52,2831.52,871.42,10060.94,8555.76,1901.28,1901.28,1009.8,11658.6,9914.4,2203.2,2203.2,38,5.4,0.2079117,1.4
16,5,1166.88,13472.16,11456.64,2545.92,2545.92,1522.18,17574.26,14945.04,3321.12,3321.12,800.36,9240.52,7858.08,1746.24,1746.24,729.3,8420.1,7160.4,1591.2,1591.2,53,21.5,0.3255682,3.6
50,40,875.16,10104.12,8592.48,1909.44,1909.44,1230.46,14206.22,12080.88,2684.64,2684.64,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,23,8,0.1736482,2.2
43,22,1309,15113,12852,2856,2856,1297.78,14983.46,12741.84,2831.52,2831.52,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,28,3.1,0.9659258,0.7
21,9,1451.12,16753.84,14247.36,3166.08,3166.08,437.58,5052.06,4296.24,954.72,954.72,0,0,0,0,0,1163.14,13428.98,11419.92,2537.76,2537.76,62,19.1,0.6691306,2.7
16,7,583.44,6736.08,5728.32,1272.96,1272.96,1376.32,15890.24,13512.96,3002.88,3002.88,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,53,21.3,0.5299193,3.1
33,26,1021.02,11788.14,10024.56,2227.68,2227.68,1021.02,11788.14,10024.56,2227.68,2227.68,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,51,13.3,0.2079117,0.7
29,20,1021.02,11788.14,10024.56,2227.68,2227.68,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,46,2,0.1564345,2.3
15,98,875.16,10104.12,8592.48,1909.44,1909.44,1163.14,13428.98,11419.92,2537.76,2537.76,867.68,10017.76,8519.04,1893.12,1893.12,871.42,10060.94,8555.76,1901.28,1901.28,18,-2.3,0.1736482,2.6
60,19,1731.62,19992.34,17001.36,3778.08,3778.08,875.16,10104.12,8592.48,1909.44,1909.44,1006.06,11615.42,9877.68,2195.04,2195.04,583.44,6736.08,5728.32,1272.96,1272.96,51,4.1,0.7071068,1.3
32,21,583.44,6736.08,5728.32,1272.96,1272.96,721.82,8333.74,7086.96,1574.88,1574.88,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,82,18.1,-1.84E-16,1.2
116,63,1585.76,18308.32,15569.28,3459.84,3459.84,145.86,1684.02,1432.08,318.24,318.24,721.82,8333.74,7086.96,1574.88,1574.88,437.58,5052.06,4296.24,954.72,954.72,56,4.7,0.5877853,0.2
44,24,1806.42,20855.94,17735.76,3941.28,3941.28,1230.46,14206.22,12080.88,2684.64,2684.64,721.82,8333.74,7086.96,1574.88,1574.88,800.36,9240.52,7858.08,1746.24,1746.24,33,0.9,0.7071068,1.5
15,19,1021.02,11788.14,10024.56,2227.68,2227.68,291.72,3368.04,2864.16,636.48,636.48,1009.8,11658.6,9914.4,2203.2,2203.2,291.72,3368.04,2864.16,636.48,636.48,16,-0.5,0.4848096,2.2
25,98,729.3,8420.1,7160.4,1591.2,1591.2,1092.08,12608.56,10722.24,2382.72,2382.72,721.82,8333.74,7086.96,1574.88,1574.88,0,0,0,0,0,22,-4.3,0.2419219,2.5
11,10,1159.4,13385.8,11383.2,2529.6,2529.6,1013.54,11701.78,9951.12,2211.36,2211.36,437.58,5052.06,4296.24,954.72,954.72,0,0,0,0,0,81,24.2,0.7071068,1.8
76,64,1092.08,12608.56,10722.24,2382.72,2382.72,145.86,1684.02,1432.08,318.24,318.24,145.86,1684.02,1432.08,318.24,318.24,145.86,1684.02,1432.08,318.24,318.24,50,2.6,0.3583679,0.8
41,29,437.58,5052.06,4296.24,954.72,954.72,1163.14,13428.98,11419.92,2537.76,2537.76,1006.06,11615.42,9877.68,2195.04,2195.04,145.86,1684.02,1432.08,318.24,318.24,15,5.6,0.9135455,0.7
16,8,875.16,10104.12,8592.48,1909.44,1909.44,1522.18,17574.26,14945.04,3321.12,3321.12,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,65,18.1,0.9396926,1.4
35,31,875.16,10104.12,8592.48,1909.44,1909.44,867.68,10017.76,8519.04,1893.12,1893.12,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,33,9.7,0.2419219,1.3
32,22,729.3,8420.1,7160.4,1591.2,1591.2,437.58,5052.06,4296.24,954.72,954.72,508.64,5872.48,4993.92,1109.76,1109.76,583.44,6736.08,5728.32,1272.96,1272.96,37,0.6,0.2419219,1.4
15,8,1159.4,13385.8,11383.2,2529.6,2529.6,654.5,7556.5,6426,1428,1428,721.82,8333.74,7086.96,1574.88,1574.88,1088.34,12565.38,10685.52,2374.56,2374.56,14,6.5,0.3746066,1.9
75,53,1376.32,15890.24,13512.96,3002.88,3002.88,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,28,15.6,0.8910065,1
48,23,1021.02,11788.14,10024.56,2227.68,2227.68,583.44,6736.08,5728.32,1272.96,1272.96,0,0,0,0,0,291.72,3368.04,2864.16,636.48,636.48,67,10.3,0.9510565,0.2
43,33,1092.08,12608.56,10722.24,2382.72,2382.72,1305.26,15069.82,12815.28,2847.84,2847.84,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,61,5.6,0.777146,0.5
34,26,729.3,8420.1,7160.4,1591.2,1591.2,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,41,-0.8,0.2249511,2.3
985,985,1305.26,15069.82,12815.28,2847.84,2847.84,437.58,5052.06,4296.24,954.72,954.72,938.74,10838.18,9216.72,2048.16,2048.16,725.56,8376.92,7123.68,1583.04,1583.04,45,8.9,0.7660444,0.3
57,47,875.16,10104.12,8592.48,1909.44,1909.44,729.3,8420.1,7160.4,1591.2,1591.2,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,58,13.1,0.9455186,0.6
43,31,1159.4,13385.8,11383.2,2529.6,2529.6,729.3,8420.1,7160.4,1591.2,1591.2,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,63,10.4,-0.3746066,1.4
44,16,583.44,6736.08,5728.32,1272.96,1272.96,1013.54,11701.78,9951.12,2211.36,2211.36,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,18,7,0.4226183,2.2
74,59,1166.88,13472.16,11456.64,2545.92,2545.92,583.44,6736.08,5728.32,1272.96,1272.96,1084.6,12522.2,10648.8,2366.4,2366.4,583.44,6736.08,5728.32,1272.96,1272.96,62,17.4,-0.809017,1.6
42,23,1013.54,11701.78,9951.12,2211.36,2211.36,1664.3,19215.1,16340.4,3631.2,3631.2,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,47,6.3,0.777146,1.6
24,98,1383.8,15976.6,13586.4,3019.2,3019.2,145.86,1684.02,1432.08,318.24,318.24,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,34,-4.3,0.1218693,2.7
27,18,875.16,10104.12,8592.48,1909.44,1909.44,437.58,5052.06,4296.24,954.72,954.72,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,40,0.6,0.3255682,1.5
12,11,1593.24,18394.68,15642.72,3476.16,3476.16,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,18,-1.1,0.2079117,2.8
31,15,437.58,5052.06,4296.24,954.72,954.72,1297.78,14983.46,12741.84,2831.52,2831.52,871.42,10060.94,8555.76,1901.28,1901.28,1009.8,11658.6,9914.4,2203.2,2203.2,43,4.2,0.8910065,0.5
36,30,1522.18,17574.26,14945.04,3321.12,3321.12,291.72,3368.04,2864.16,636.48,636.48,1006.06,11615.42,9877.68,2195.04,2195.04,721.82,8333.74,7086.96,1574.88,1574.88,17,5.3,0.7071068,1.6
52,25,721.82,8333.74,7086.96,1574.88,1574.88,946.22,10924.54,9290.16,2064.48,2064.48,437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,58,7.9,0.6691306,0.2
36,28,875.16,10104.12,8592.48,1909.44,1909.44,583.44,6736.08,5728.32,1272.96,1272.96,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,45,14.8,0.8480481,1.3
33,31,1237.94,14292.58,12154.32,2700.96,2700.96,867.68,10017.76,8519.04,1893.12,1893.12,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,34,9.9,0.2756374,2.5
39,14,437.58,5052.06,4296.24,954.72,954.72,1514.7,17487.9,14871.6,3304.8,3304.8,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,28,14.8,0.4226183,1.3
63,41,1159.4,13385.8,11383.2,2529.6,2529.6,575.96,6649.72,5654.88,1256.64,1256.64,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,54,8.7,-0.0348995,0.5
