N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
147,후성,"20,650",300,-1.43%,500,"19,123","92,607",6.82,"1,137,832",69.53,2.79,
148,효성티앤씨,"440,500","11,000",-2.44%,"5,000","19,063","4,328",16.37,"54,654",2.70,25.10,
149,TIGER 미국나스닥100,"78,140","2,325",-2.89%,0,"18,855","24,130",0.01,"546,156",N/A,N/A,
150,솔루스첨단소재,"58,500","2,300",-3.78%,100,"17,895","30,590",7.01,"482,556",-230.31,-5.10,
151,현대위아,"65,800","1,000",-1.50%,"5,000","17,894","27,195",6.55,"121,007",49.03,1.96,
152,현대백화점,"76,400",300,-0.39%,"5,000","17,879","23,402",18.37,"144,268",11.56,1.65,
153,KODEX 200선물인버스2X,"2,440",45,+1.88%,0,"17,714","726,000",3.67,"211,892,261",N/A,N/A,
154,코오롱인더,"64,200",600,-0.93%,"5,000","17,667","27,519",19.66,"131,000",9.96,9.70,
155,동원시스템즈,"59,800","4,000",-6.27%,"5,000","17,455","29,188",13.25,"116,346",27.08,10.97,
156,한미반도체,"35,100","1,300",-3.57%,200,"17,360","49,460",5.93,"403,082",20.87,21.03,
157,효성,"81,100",700,-0.86%,"5,000","17,089","21,071",7.99,"32,638",4.41,-2.26,
158,한샘,"72,500","1,800",-2.42%,"1,000","17,062","23,534",16.07,"96,648",21.33,10.83,
159,TIGER MSCI Korea TR,"15,140",80,-0.53%,0,"16,896","111,600",13.62,483,N/A,N/A,
160,DGB금융지주,"9,980",200,+2.04%,"5,000","16,881","169,146",49.77,"1,416,095",3.57,6.93,
161,JB금융지주,"8,490",10,-0.12%,"5,000","16,724","196,983",42.26,"468,855",3.50,10.06,
162,오뚜기,"454,500","5,500",-1.20%,"5,000","16,689","3,672",11.65,"2,914",15.09,7.93,
163,아시아나항공,"21,800",700,+3.32%,"5,000","16,222","74,412",7.32,"2,161,206",-3.75,-43.83,
164,대웅제약,"140,000","3,000",-2.10%,"2,500","16,221","11,587",6.07,"27,042",140.56,2.38,
165,더존비즈온,"53,000","1,500",-2.75%,500,"16,103","30,383",38.87,"98,927",25.94,15.09,
166,LS,"49,300","1,700",-3.33%,"5,000","15,875","32,200",13.57,"211,403",6.19,3.94,
167,아이에스동서,"51,300","1,300",+2.60%,500,"15,848","30,893",4.26,"238,341",29.38,10.92,
168,한전KPS,"35,100",100,-0.28%,200,"15,795","45,000",7.11,"132,390",13.07,8.23,
169,KODEX 단기채권,"103,200",5,0.00%,0,"15,788","15,298",0.00,"38,226",N/A,N/A,
170,동국제강,"16,300",100,+0.62%,"5,000","15,556","95,433",22.38,"680,510",3.44,3.35,
171,대웅,"26,750",750,-2.73%,500,"15,553","58,142",4.27,"74,535",14.73,15.10,
172,롯데칠성,"167,500",500,+0.30%,500,"15,542","9,279",9.03,"55,971",19.80,-1.00,
173,현대엘리베이,"37,850",250,-0.66%,"5,000","15,449","40,815",29.32,"87,636",24.39,9.78,
174,일진하이솔루스,"42,450",750,-1.74%,500,"15,415","36,313",1.74,"86,788",79.20,34.27,
175,KODEX 삼성그룹,"9,070",170,-1.84%,0,"15,410","169,900",0.30,"149,070",N/A,N/A,
176,두산,"90,900","2,900",-3.09%,"5,000","15,020","16,524",10.70,"97,685",-52.36,-34.34,
177,KODEX 종합채권(AA-이상)액티브,"105,960",205,-0.19%,0,"14,240","13,439",0.00,"64,001",N/A,N/A,
178,한일시멘트,"19,800",250,-1.25%,500,"13,714","69,262",2.59,"100,491",13.04,N/A,
179,케이카,"28,500",400,+1.42%,500,"13,705","48,087",18.45,"119,235",47.34,15.11,
180,TIGER 단기통안채,"100,595",5,0.00%,0,"13,503","13,423",0.88,"1,578,863",N/A,N/A,
181,TIGER 미국S&P500,"13,460",315,-2.29%,0,"13,373","99,350",0.00,"1,833,725",N/A,N/A,
182,NHN,"35,500",700,-1.93%,500,"13,319","37,518",19.29,"206,313",40.99,1.35,
183,LIG넥스원,"60,200","2,200",-3.53%,"5,000","13,244","22,000",6.26,"239,624",14.03,8.86,
184,신풍제약,"24,800","1,200",-4.62%,500,"13,140","52,985",10.66,"768,681","4,133.33",1.72,
185,롯데리츠,"5,400",40,+0.75%,500,"13,120","242,969",9.61,"189,496",33.75,1.68,
