position,name,championsKilled,numDeaths,assists,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
A,바루스,6.558139534883721,5.843023255813954,7.063953488372093,10.796511627906977,1.3546511627906976,0.20348837209302326,176.88953488372093,1.5348837209302326,285.6220930232558,3.191860465116279,11483.598837209302,13185.67441860465,3648.5058139534885,1552.4941860465117,9468.06976744186,17194.377906976744,126148.24418604652,15423.889534883721,0.0,0.0,23.343023255813954
A,바이,6.0,2.5,4.0,0.0,1.0,0.0,75.5,1.0,0.0,3.0,7000.5,9616.0,0.0,951.0,4635.0,10314.0,61221.5,9843.5,0.0,0.0,15.5
A,베이가,7.2727272727272725,6.0,6.7272727272727275,4.181818181818182,0.6363636363636364,0.18181818181818182,170.72727272727272,1.1818181818181819,0.0,3.0,11487.272727272728,535.1818181818181,16033.90909090909,1930.2727272727273,9763.636363636364,16700.636363636364,125460.0,17955.81818181818,0.0,0.0,19.90909090909091
A,베인,6.7238017871649065,5.657189277010561,5.4606011372867584,11.700243704305443,1.4021121039805036,0.22258326563769293,160.21202274573517,1.6815597075548334,290.9366368805849,3.3005686433793664,10933.59788789602,10821.075548334687,587.1640942323314,1722.8716490658,10401.971567831031,15680.740048740861,105122.1974004874,16392.293257514215,0.0,0.0,7.901705930138099
A,벡스,5.5,6.0,7.125,5.25,1.0,0.125,123.0,1.125,0.0,2.625,9490.625,1267.0,14837.0,1522.625,8258.625,16820.25,97622.0,15367.0,0.0,0.0,26.875
A,벨코즈,6.580645161290323,4.370967741935484,8.209677419354838,3.1451612903225805,0.8064516129032258,0.08064516129032258,178.19354838709677,1.3064516129032258,0.0,3.403225806451613,12094.91935483871,524.8870967741935,14926.387096774193,1101.1290322580646,7450.5,21662.387096774193,123794.32258064517,12296.564516129032,0.0,0.0,23.225806451612904
A,브랜드,4.5,5.5,5.5,10.0,0.5,0.0,167.5,1.5,0.0,2.5,9699.5,539.5,15697.5,1427.5,5844.5,16525.5,108307.0,14735.5,0.0,0.0,8.5
A,블라디미르,4.0,8.25,4.375,2.0,0.125,0.0,147.75,1.0,0.0,1.375,9174.875,914.25,12711.375,14415.75,17879.75,14138.25,97286.625,26987.25,0.0,0.0,2.75
A,블리츠크랭크,4.0,8.0,5.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,5852.0,1759.0,6338.0,0.0,4910.0,8748.0,32560.0,11498.0,0.0,0.0,23.0
A,비에고,9.5,4.0,5.0,18.0,1.0,0.0,147.0,2.0,359.5,4.5,12196.0,12594.0,1981.0,4506.5,12006.5,15042.5,115309.0,18988.0,0.0,0.0,12.5
A,빅토르,6.0344827586206895,5.724137931034483,7.758620689655173,8.172413793103448,1.0689655172413792,0.20689655172413793,184.6206896551724,1.5517241379310345,0.0,2.9310344827586206,11769.931034482759,705.9310344827586,21915.655172413793,1986.7241379310344,9501.965517241379,23119.51724137931,142531.41379310345,16073.724137931034,0.0,0.0,20.620689655172413
A,뽀삐,6.0,1.0,6.0,0.0,2.0,0.0,101.0,1.0,0.0,4.0,8423.0,4457.0,1630.0,250.0,7290.0,6658.0,50286.0,11415.0,0.0,0.0,15.0
A,사미라,7.844095940959409,6.279520295202952,6.115313653136531,10.64760147601476,1.1273062730627306,0.16143911439114392,165.22324723247232,1.8643911439114391,556.3736162361623,3.5839483394833946,11290.785055350554,13976.367158671586,2273.7666051660517,1559.7029520295202,11594.868081180812,16631.942804428043,110332.45295202952,18560.14852398524,0.0,0.0,3.0498154981549814
A,사이온,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,사일러스,9.4,7.8,5.6,5.8,0.8,0.2,121.4,1.8,96.8,3.8,10077.4,669.2,16689.4,5060.6,12884.8,17661.8,87146.0,23570.4,0.0,0.0,22.4
A,샤코,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,822.0,274.0,438.0,0.0,609.0,766.0,2435.0,716.0,0.0,0.0,3.0
A,세나,3.5555555555555554,5.37037037037037,10.185185185185185,6.425925925925926,0.6851851851851852,0.18518518518518517,124.11111111111111,1.1111111111111112,427.64814814814815,1.7592592592592593,9265.62962962963,12118.685185185184,148.46296296296296,7402.018518518518,8582.148148148148,13091.75925925926,76370.35185185185,13912.74074074074,0.0,0.0,18.166666666666668
A,세라핀,4.375,4.75,9.765625,4.03125,0.828125,0.015625,146.203125,1.265625,0.0,2.546875,9366.875,1431.03125,12570.34375,2769.609375,7338.671875,14151.8125,97292.703125,11994.640625,0.0,0.0,24.453125
A,세트,1.0,5.0,1.0,7.0,0.0,0.0,127.0,1.0,0.0,0.0,6251.0,8896.0,0.0,445.0,7632.0,12459.0,73450.0,16707.0,0.0,0.0,18.0
A,소라카,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,735.0,505.0,316.0,138.0,820.0,822.0,1863.0,836.0,0.0,0.0,1.0
A,쉔,7.5,6.5,22.5,13.0,0.5,0.0,99.0,1.5,21.5,3.5,12616.0,11103.5,18769.0,4386.5,17094.0,31632.0,99175.0,34891.0,0.0,0.0,47.5
A,쉬바나,0.0,10.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2511.0,903.0,1927.0,0.0,11198.0,2831.0,17695.0,11668.0,0.0,0.0,0.0
A,스웨인,5.526785714285714,5.223214285714286,9.232142857142858,5.017857142857143,0.6875,0.125,152.60714285714286,1.6071428571428572,0.0,2.705357142857143,10432.125,1217.9464285714287,15242.142857142857,5458.580357142857,11197.223214285714,16816.5,101663.99107142857,20108.151785714286,0.0,0.0,34.214285714285715
A,시비르,5.345588235294118,5.764705882352941,8.338235294117647,11.558823529411764,1.5661764705882353,0.19852941176470587,187.02205882352942,1.3455882352941178,252.65441176470588,2.514705882352941,11437.404411764706,18113.308823529413,225.61029411764707,2001.8529411764705,9455.14705882353,18763.03676470588,150955.625,15352.70588235294,0.0,0.0,1.7573529411764706
A,신 짜오,4.0,2.0,4.0,8.0,2.0,0.0,112.0,1.0,425.0,4.0,7783.0,5356.0,1138.0,4626.0,10462.0,6855.0,70893.0,13089.0,0.0,0.0,7.0
A,신드라,4.428571428571429,4.6938775510204085,5.836734693877551,3.3469387755102042,0.6938775510204082,0.08163265306122448,152.08163265306123,1.2244897959183674,0.0,2.2244897959183674,9210.469387755102,747.265306122449,13419.387755102041,1172.2857142857142,6755.3877551020405,14302.591836734693,94744.5306122449,12116.0,0.0,0.0,26.857142857142858
